source,model_id,draw,eta,T_min,T_max,a,b,c,d,sigma_q,p_global,p_jump,fixed_T,gamma0,gamma1,latency_cap,max_steps,random_seed,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins,mu_latency_raw_pooled_ccdf,mu_latency_raw_pooled_ccdf_r2,mu_latency_raw_pooled_ccdf_n,mu_latency_raw_pooled_ccdf_n_bins,mu_latency_median_norm_ccdf,mu_latency_median_norm_ccdf_r2,mu_latency_median_norm_ccdf_n,mu_latency_median_norm_ccdf_n_bins
model,M4b_adaptive_T_global,39,0.1867224950952913,0.8985685405843917,1.4817657705521263,1.6917408015346114,0.8483433527323336,0.0,0.0,0.2972560577731467,0.25,0.15,1.5,-2.797946766456625,1.1111845991032085,150,500,241184759,13.82,0.8950447296081846,0.1622976991145176,1.0616292310488165,0.21566566921210886,0.5319329919440055,-3.213748978346993,0.046035615590576534,1.52,0.12494982056127567,3.3159295052283118,50.0,1.4774639016221864,0.9476092261066875,691.0,12.0,1.9561386266119831,0.9415425683725799,375.0,12.0,-1.1856259870638648,0.1680402410683558,641.0,12.0,0.8,641.0,0.20124804992199688,16.60385158223908,0.7802268777373709,129.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,40,0.37152950641175936,0.4729378673887846,3.19138884438647,0.3538577176447424,1.5306426465020466,0.0,0.0,0.520007980794424,0.25,0.15,1.5,0.9988875182632673,0.12421938205363231,150,500,10235870,14.36,1.0039989025758431,0.12159893927963869,1.1237075125589044,0.21557142040965568,0.5010432127733347,-2.1826281004007226,0.11966890584400498,1.26,0.09812804352510235,2.914824795334679,50.0,1.6816340247741026,0.8963709404042124,718.0,11.0,2.2259871700887914,0.8929808946734477,396.0,12.0,-3.648350605435348,0.4582488323860674,668.0,12.0,0.8,668.0,0.20958083832335328,25.0994876099535,0.7728051020774914,140.0,11.0,,,,,,,,
model,M4b_adaptive_T_global,41,0.011524836672330159,1.4722312898823098,3.515437980896705,-1.6282202791603417,5.862558450429306,0.0,0.0,0.44852741583189704,0.25,0.15,1.5,0.013816802587051313,0.0686936272945694,150,500,401821739,24.3,0.9835354139286987,0.13970780608401806,1.1419278093378278,0.20832017584916465,0.5069720532430579,-2.4831854956421044,0.08795893652567206,1.28,0.05633761185770576,0.3374529132185412,50.0,2.1627099228417577,0.936954081689537,1215.0,12.0,2.578176277969299,0.9520800910537083,736.0,12.0,-4.143377849868302,0.7880941187595661,1165.0,12.0,0.8,1165.0,0.2,20.100651943251552,0.8862172864043504,233.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,42,0.32606280843115043,0.31092191533536095,3.5409120375714407,-0.3631243206572847,4.813731072119839,0.0,0.0,0.5037382970070603,0.25,0.15,1.5,-1.7405153457516658,0.37644311402116826,150,500,377355736,16.24,0.9210705020223756,0.14728533606419172,1.0690790330699966,0.21925979520322636,0.5239545769542494,-3.066623550680828,0.05343928270457435,1.34,0.09452680081916856,2.5035713608901777,50.0,1.7763568689905802,0.9214541449772868,812.0,11.0,2.5690638793931244,0.9153189559784106,429.0,12.0,-1.4645832285415914,0.19406530213969375,762.0,12.0,0.8,762.0,0.20078740157480315,16.038836303651337,0.7919672084076442,153.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,43,0.013145090971004473,0.6762551734928395,1.4874477468521876,-1.9939044053059827,5.657490184396357,0.0,0.0,0.5981225569745804,0.25,0.15,1.5,-2.5929367434047146,0.027327960002630047,150,500,68400544,18.46,0.9186161847877291,0.1125778702015713,1.0120278027956915,0.21279926688309142,0.523337889073004,-2.911556052309016,0.06311292337852376,2.58,0.15832287265243503,3.163474220216352,50.0,1.8461742045227199,0.937053663635274,923.0,12.0,2.4261969075814465,0.9406560111165062,502.0,12.0,-1.3581762875997292,0.11609778522997083,873.0,12.0,0.8,873.0,0.2004581901489118,14.64388375412463,0.8433139159451182,175.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,44,0.023714928171779996,0.6699463088070732,3.8369355087222576,-1.6767814453972902,3.2212349220548284,0.0,0.0,0.23777069994695516,0.25,0.15,1.5,-1.3626127499380272,0.9050756751660901,150,500,188557630,19.42,1.0084195353641372,0.13870517510497118,1.1515535269652735,0.21435581096413647,0.5005889691430102,-2.1146771735245564,0.12766143733096555,1.52,0.08313590103604236,1.852621402627671,50.0,1.7826511328728392,0.9409684947592305,971.0,11.0,2.2172411754970622,0.9457767091280127,548.0,12.0,-3.7498567895811625,0.7415622170554503,921.0,12.0,0.8,921.0,0.20195439739413681,22.82515307545612,0.6548380020544411,186.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,45,0.02508608723809408,0.8579284166746126,3.1033184350770258,-0.4517156128883575,3.981607099151393,0.0,0.0,0.5829402439721185,0.25,0.15,1.5,0.6950744867041343,0.969606755161972,150,500,326500610,19.22,1.058814808745205,0.09347370325420093,1.1551102298381875,0.21250769842323217,0.48680271473565506,-1.7977396357964286,0.1683959213273876,0.8,0.044378318388212046,1.1848824062919798,50.0,1.744528820551574,0.9689067442299162,961.0,11.0,2.051555825337123,0.9423139368156042,585.0,12.0,-6.08546898791646,0.7128718509738483,911.0,10.0,0.8,911.0,0.20636663007683864,26.635517622807733,0.7373844462825435,188.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,46,0.6727015094352019,0.8545596172979555,1.8228314971936594,-1.3014224067518567,5.496974055873857,0.0,0.0,0.36756355885423175,0.25,0.15,1.5,-1.479247647015908,2.432131884576137,150,500,932075542,3.78,0.9568669537572663,0.11685172912079875,1.0290540406220965,0.27771428571428575,0.5132435717757208,-2.6366967080334636,0.09575171494227662,0.58,0.18923809523809523,4.999431889176605,50.0,0.8394099665005705,0.6887258927407336,189.0,12.0,1.1834246431301272,0.7146829738341351,96.0,12.0,-2.5829156600404013,0.5893948286339024,139.0,9.0,0.8,139.0,0.2014388489208633,14.60547221346415,0.33431158538755,28.0,10.0,,,,,,,,
model,M4b_adaptive_T_global,47,0.03281733750524891,1.0049043310126669,1.891706917378884,1.8416235354574209,3.7863261593910673,0.0,0.0,0.18652138286913614,0.25,0.15,1.5,-1.4834947764915953,1.7079794047355692,150,500,933475418,17.08,1.042984064721209,0.1097381336246829,1.147049372709479,0.21619192202706133,0.49122178572840197,-1.8893552081479035,0.15529399059004192,0.62,0.039268625938904574,1.5640751455000819,50.0,1.6777660124501388,0.9426028608161724,854.0,11.0,1.9534115625793769,0.9525319608934086,456.0,12.0,-4.367010270510202,0.7116116895257073,804.0,12.0,0.8,804.0,0.20024875621890548,30.26149041350569,0.8017989042251337,161.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,48,0.06622015678699376,1.1733279677078787,3.3626735112505415,-1.1220273984696472,1.356025043931738,0.0,0.0,0.3225293306507129,0.25,0.15,1.5,0.04377104414309452,0.37374193253051446,150,500,394140409,19.2,1.0154425117463806,0.12906980801526546,1.1497627162215136,0.20972873864891628,0.49860972354325683,-2.1351683459860094,0.12429612783761973,1.24,0.07060361290345137,1.6301085066584107,50.0,1.781163492453396,0.9488601656216334,960.0,11.0,2.2004066897364103,0.960549748013295,511.0,12.0,-3.7716051227659833,0.7580859955604775,910.0,11.0,0.8,910.0,0.2032967032967033,27.908226297137723,0.8670844854138585,185.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,49,0.02131610646711849,0.3954691851018115,0.83847944506831,-1.1417158193176915,4.481408983916445,0.0,0.0,0.25804594278744497,0.25,0.15,1.5,-1.6606063606949468,1.5046744196533148,150,500,370642396,10.38,0.975288754918212,0.12412737133756442,1.0962375802128483,0.22401698301698297,0.5087350984781299,-2.163538031277964,0.12662581500953632,1.64,0.17602664002664,4.3348187682544195,50.0,1.2904107319426892,0.9433771344071492,519.0,12.0,1.8614090713735036,0.9455663598105534,261.0,12.0,-4.099671690812459,0.6397546927973632,469.0,12.0,0.8,469.0,0.20042643923240938,12.514657773252402,0.6442166657131588,94.0,11.0,,,,,,,,
model,M4b_adaptive_T_global,50,0.16184318636751777,1.406979795728457,2.778620247891493,-0.1129833764339212,2.3468395954741745,0.0,0.0,0.23126110411644601,0.25,0.15,1.5,0.6086129018254893,2.4188271049786834,150,500,899395462,16.74,1.0589765871057033,0.0873870254830227,1.1553881581654788,0.21272664626918228,0.48660747803534604,-1.7730792277377512,0.173032408115375,0.9,0.05858508356108975,1.9329188517294063,50.0,1.6948420092408358,0.953186955789675,837.0,11.0,1.9867611449986007,0.9570164433785424,448.0,12.0,-7.376315780216791,0.3968206819243063,787.0,12.0,0.8,787.0,0.20330368487928843,30.846375933147847,0.7181520383730428,160.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,51,0.20444723404838225,0.9561301389891574,1.7692821963623577,-0.4998485742927614,5.894428535272909,0.0,0.0,0.35193021935634883,0.25,0.15,1.5,-2.684092062017113,0.20016814192126614,150,500,136844822,14.06,0.8816993044975735,0.13398889479740272,1.0006316667362485,0.21979475409351568,0.5346959744787155,-3.355275225115232,0.04396786975088572,1.4,0.10813106851868462,3.1332163008311413,50.0,1.7588082787968478,0.9103010729736682,703.0,12.0,2.142695964039189,0.9348774417861101,399.0,12.0,-0.9581883100106905,0.0837165086274202,653.0,12.0,0.8,653.0,0.2006125574272588,14.578629869188653,0.7448600762728851,131.0,11.0,,,,,,,,
model,M4b_adaptive_T_global,52,0.025599323584441364,1.0113292889449432,1.9193543799334014,1.468633294331716,5.039062383666263,0.0,0.0,0.4953541004459082,0.25,0.15,1.5,-2.9678180311106357,2.0561305156877228,150,500,369694869,19.14,1.0212472682968268,0.11783352752277876,1.1425172197286602,0.20729555229622532,0.4967036964621682,-2.053944114795259,0.13424909766992235,1.1,0.062329201093099335,1.5057868077577032,50.0,1.8941575541948656,0.9491572686672518,957.0,11.0,2.1542865675615603,0.9346967202058767,578.0,12.0,-4.38550453665215,0.852791546409722,907.0,10.0,0.8,907.0,0.20176405733186328,24.58577359172044,0.6915601256861964,183.0,12.0,,,,,,,,
