ppc_draw,source_draw,abc_distance,eta,T_min,T_max,a,b,sigma_q,gamma0,gamma1,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins
32,95,0.3446513327623941,0.5065187221122291,0.8886107676139885,2.3073404212711237,0.4633909944468248,3.634015181603453,0.1647327035352512,-0.3563430677272312,1.0292242806044931,9.56,1.0025071935831056,0.11411602796514259,1.1058651322959936,0.21986580086580085,0.5013230401589904,-2.1660258086432655,0.12512878123441137,0.96,0.10782972582972583,3.8690888832780854,50.0,1.206466976447806,0.9164473948085817,478.0,12.0,1.8430312683329664,0.9517821714284987,247.0,12.0,-2.5138504550324483,0.2364827018317719,428.0,11.0,0.8,428.0,0.20093457943925233,22.135341890030638,0.8932988301505362,86.0,10.0
33,461,0.444679992200236,0.2680012467428085,1.063800284973783,2.65181602403099,-1.7169105633965676,2.407679822735457,0.5614020415473693,-2.267538846760047,1.729213094827649,12.72,0.9913177517340118,0.1251656852563634,1.1133580306192936,0.2124615857139077,0.5043596348420528,-2.1408481192694855,0.1258061824827818,1.48,0.13584174159174156,3.5633650253820104,50.0,1.4502737671018278,0.9351720965110903,636.0,12.0,2.081822243783425,0.9510500049529071,331.0,12.0,-4.1030108878946505,0.7594858758591345,586.0,10.0,0.8,586.0,0.20136518771331058,17.06417726760962,0.5540356406704141,118.0,12.0
34,95,0.3446513327623941,0.5065187221122291,0.8886107676139885,2.3073404212711237,0.4633909944468248,3.634015181603453,0.1647327035352512,-0.3563430677272312,1.0292242806044931,9.74,0.9974550613582757,0.1138127683372655,1.1022786629511998,0.2147040737040737,0.5026801282260507,-2.1443131557022364,0.12374588506795065,1.0,0.11857670107670107,3.8620539799802076,50.0,1.298171025592033,0.9003296666572977,487.0,12.0,2.0739188871322902,0.93750674874895,253.0,12.0,-4.377427932954078,0.6874309179931967,437.0,12.0,0.8,437.0,0.20137299771167047,21.883014728067785,0.6801516030409952,88.0,11.0
35,931,0.4474508141596336,0.4064908327525905,1.2829278183139174,1.9638155579059713,1.1426630133651146,5.446800881757292,0.5995188785099108,-2.8324226580177148,2.544041461648593,11.22,1.0086193753170578,0.10188762270030115,1.1038542049116968,0.2176066156066156,0.49935552125798693,-2.1093987663287264,0.12814535719388842,0.86,0.08725080475080473,3.3353225528643238,50.0,1.4220372402342956,0.9225403910068798,561.0,12.0,1.9364198361033378,0.9555784132752122,294.0,12.0,-4.934982767191869,0.6113484330626932,511.0,11.0,0.8,511.0,0.20156555772994128,21.92164098333445,0.5298489156575767,103.0,10.0
36,95,0.3446513327623941,0.5065187221122291,0.8886107676139885,2.3073404212711237,0.4633909944468248,3.634015181603453,0.1647327035352512,-0.3563430677272312,1.0292242806044931,9.88,1.0014555378046202,0.11845722150099275,1.108468060440698,0.2254877344877345,0.5016484204611324,-2.091601109590697,0.12882015982879225,1.14,0.13048412698412698,3.965471277415192,50.0,1.344740065162198,0.8896761674258348,494.0,12.0,1.984686237481349,0.9430243815166405,260.0,12.0,-3.1311534169602373,0.3483689058475168,444.0,11.0,0.8,444.0,0.2072072072072072,23.52324705849504,0.7888058323450136,92.0,11.0
37,47,0.4173935628155615,0.5777035068410801,1.0695282449084746,3.577038865903433,-0.3901381553928971,5.794247711280954,0.3594754941324265,-1.1979855328384907,1.531659091368612,11.76,1.0142818438154717,0.10258488788701765,1.1129148584270718,0.2169354534354534,0.4979397118572397,-2.0376268201055345,0.13443225547131876,1.0,0.09949880674880676,3.3342178429706903,50.0,1.4963686116532913,0.8777976770750321,588.0,11.0,2.3304235891855005,0.9050809159696079,307.0,12.0,-5.231127873237251,0.6966131765883732,538.0,11.0,0.8,538.0,0.20074349442379183,21.717688549353944,0.6437826537379396,108.0,12.0
38,253,0.43675779931827646,0.2544192272744641,1.0798106147178492,1.7129042090973527,0.0133929333693196,1.6099761696595014,0.3218536574754648,-2.040976395712,2.0484082234544396,12.08,0.9994707804024526,0.12014206334882488,1.113908986909419,0.22133996558996558,0.50214341125917,-2.0451244319446866,0.1349324854570534,1.4,0.12563869463869462,3.6506002371077972,50.0,1.4855379948042633,0.9041429814421992,604.0,12.0,1.8526938626555454,0.8857451586770267,304.0,11.0,-4.910344148729289,0.6129902186257129,554.0,12.0,0.8,554.0,0.2003610108303249,18.297332178079934,0.4553913307890065,111.0,10.0
39,43,0.4079763507836184,0.1834557177704566,0.3804042444085129,2.503934977028018,-1.6980584007989123,2.5414492087795124,0.4973941208714855,-1.3123091233115574,2.5952608083628776,11.42,1.0092715777815202,0.10651553532217367,1.1123987722498025,0.22316328116328113,0.4991682021846149,-1.978184248307662,0.1430176688821789,1.4,0.13739493839493838,3.8230615492000157,50.0,1.4253207725796944,0.9229917634016014,571.0,12.0,2.0783062281681732,0.9625871520224624,316.0,12.0,-2.1195242049900753,0.16663685886244117,521.0,9.0,0.8,521.0,0.2034548944337812,20.799132481952743,0.5819766570877978,106.0,11.0
40,735,0.380679524018775,0.48745858329505,0.4859996808196458,2.7397505399843327,0.1339829376673385,4.83071104154498,0.261884071054414,0.5610958999020816,0.5904433859206818,11.5,0.9959627887559808,0.11798359802760147,1.108524001537449,0.22323895548895545,0.5029882419437128,-2.19098104925019,0.11712904169718474,1.3,0.13032131757131757,3.702157147734292,50.0,1.3490382607061588,0.9305038922849549,575.0,11.0,1.9883394232703477,0.9682698210479813,301.0,12.0,-4.144080822944832,0.49426301542162376,525.0,11.0,0.8,525.0,0.2,21.267382738868363,0.6333550959652431,105.0,12.0
41,968,0.3856766036681893,0.2678035754605854,0.6522674794265184,2.400321680884888,-1.8035515373285391,4.7203164408306,0.3249474209811079,-0.8459204851370683,1.4000764981974223,10.5,0.9975012317064751,0.1233976633516365,1.1125276887344726,0.21942402042402043,0.5028425917709299,-2.2077150372118597,0.11756792017508139,1.26,0.13622882672882672,3.923462166055835,50.0,1.44945498184659,0.9126343934257803,525.0,12.0,2.264893209867887,0.9259266599560266,267.0,12.0,-3.9061223956813604,0.5627762826957066,475.0,12.0,0.8,475.0,0.2,25.546974693320394,0.6281863584892422,95.0,11.0
