source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10258,5.10258,12.0,0.9725125402236259,0.10698550656522698,1.0612387550605584,0.18181818181818182,0.5083133019790244,-1.1746258714502353,0.3089345393007576,4.0,0.36363636363636365,6.2715046385735205
human,oaf_10270,1.1027,18.0,1.0344120043732612,0.1246088686176968,1.1855315777320456,0.21428571428571427,0.49329287908940767,-1.403187439776436,0.2458122023246037,4.0,0.23529411764705882,4.703674528644262
human,oaf_10274,1.10274,22.0,1.0578422399857197,0.11055478321342625,1.1814799760838302,0.1875,0.4873043158793149,-1.491598318053112,0.22501272607291792,4.0,0.19047619047619047,3.65845445535809
human,oaf_10274,3.10274,21.0,0.9964303366373942,0.09871556585480179,1.1010339421601683,0.2,0.5020746295971062,-1.4948745123820137,0.2242767469194909,2.0,0.1,1.9197594736796333
human,oaf_10274,4.10274,37.0,1.019706932203684,0.1269258424991153,1.1836281511960431,0.22727272727272727,0.4969751103038188,-1.3257347641951132,0.26560772832470403,7.0,0.19444444444444445,2.738879180534945
human,oaf_10284,1.10284,15.0,1.056693357040307,0.09035271502749172,1.1456948502279287,0.18181818181818182,0.4870849067154064,-1.7503778242085617,0.173708299849444,2.0,0.14285714285714285,3.4875895836088913
human,oaf_10294,1.10294,22.0,1.0425799621468241,0.1079600963217594,1.159410060086285,0.2222222222222222,0.4907833478645663,-2.2578788454898073,0.10457206317409623,5.0,0.23809523809523808,4.65845445535809
human,oaf_10294,3.10294,17.0,1.0785920457222855,0.0675648522038248,1.180247264107761,0.2,0.481551132547909,-1.9593158252861158,0.14095482566596065,1.0,0.0625,1.9649795469658051
human,oaf_10308,1.10308,12.0,1.0726175245967544,0.15998189948226998,1.183116682841944,0.2857142857142857,0.4852308533698661,-2.046115831559286,0.12923590399264623,0.0,0.0,2.2715046385735205
human,oaf_10310,1.1031,31.0,1.0157532311228945,0.11684778184714756,1.164644170711262,0.2,0.4977230440852895,-1.6400530588728104,0.19396975020154597,9.0,0.3,6.3067092904642035
human,oaf_10313,1.10313,28.0,1.049510709444361,0.12382687290015577,1.1718782224844697,0.23529411764705882,0.4896671078137505,-1.806576879224362,0.16421530460302164,4.0,0.14814814814814814,2.0906243454288322
human,oaf_10331,1.10331,47.0,1.0333429862023216,0.0898931827692005,1.1257648893801107,0.19047619047619047,0.4927322335810067,-1.4176367298389771,0.24228592794464787,8.0,0.17391304347826086,1.1258289973195152
human,oaf_10331,3.10331,35.0,0.9948062503236972,0.13886913076726792,1.1174123214778922,0.21052631578947367,0.5037707058625361,-1.6972057237186593,0.18319470615038413,9.0,0.2647058823529412,5.261489217178031
human,oaf_10331,4.10331,27.0,1.0396478304764498,0.1020292282780465,1.1344827461617577,0.1875,0.491470697121447,-1.655292989936285,0.19103607585740545,7.0,0.2692307692307692,5.351929363750375
human,oaf_10331,5.10331,29.0,1.053880813451505,0.15310594567207705,1.1958381621119465,0.2,0.48961029033724324,-1.4467200481263203,0.23534093049384627,6.0,0.21428571428571427,3.829319327107289
human,oaf_10331,6.10331,23.0,1.0673551445044147,0.09976352479456896,1.1531218353515487,0.18181818181818182,0.48481247194216787,-1.775154141453011,0.16945732708762792,6.0,0.2727272727272727,5.397149437036547
human,oaf_10331,7.10331,24.0,1.0554650855080343,0.11103796154076188,1.139697621453323,0.23076923076923078,0.4878397742860307,-1.7717581128785724,0.170033787296209,4.0,0.17391304347826086,3.135844418715004
human,oaf_10357,1.10357,18.0,1.0050900988079268,0.14705470254688038,1.1769910583396292,0.23076923076923078,0.5012945282559216,-1.8517462586654838,0.1569628291509542,4.0,0.23529411764705882,4.703674528644262
human,oaf_10365,1.10365,29.0,0.989610551812712,0.08776162387034184,1.0913363459024032,0.23529411764705882,0.5035424231815029,-2.1408843453909716,0.11755084149703994,7.0,0.25,4.829319327107289
